link_id,percent_valid,hours_with_data,hours_valid,hours_dropped,percent_valid_hours,days_covered
s_1-5,100.0,96,96,0,100.0,4
s_1-8052,100.0,96,96,0,100.0,4
s_1-8066,100.0,96,96,0,100.0,4
s_10005-91,100.0,96,96,0,100.0,4
s_10005-93,100.0,96,96,0,100.0,4
s_10024-11231,100.0,96,96,0,100.0,4
s_10024-7134,100.0,96,96,0,100.0,4
s_10028-12130,100.0,96,96,0,100.0,4
s_10028-3906,100.0,96,96,0,100.0,4
s_10033-527,100.0,96,96,0,100.0,4
s_10033-536,100.0,96,96,0,100.0,4
s_10034-10507,100.0,96,96,0,100.0,4
s_10034-4056,100.0,96,96,0,100.0,4
s_10034-4251,100.0,96,96,0,100.0,4
s_10054-3667,100.0,96,96,0,100.0,4
s_10054-399,100.0,96,96,0,100.0,4
s_10058-12244,100.0,96,96,0,100.0,4
s_10058-31,100.0,96,96,0,100.0,4
s_10066-11384,100.0,80,80,0,100.0,4
s_10066-11981,100.0,96,96,0,100.0,4
s_10066-7171,100.0,96,96,0,100.0,4
s_10067-10073,100.0,96,96,0,100.0,4
s_10067-761,100.0,96,96,0,100.0,4
s_10067-773,100.0,96,96,0,100.0,4
s_10067-9701,100.0,96,96,0,100.0,4
s_10071-11392,100.0,96,96,0,100.0,4
s_10071-7093,100.0,96,96,0,100.0,4
s_10073-10067,100.0,96,96,0,100.0,4
s_10073-4135,100.0,96,96,0,100.0,4
s_10091-7073,100.0,96,96,0,100.0,4
s_10091-7199,100.0,96,96,0,100.0,4
s_10091-7220,100.0,96,96,0,100.0,4
s_10129-1979,100.0,96,96,0,100.0,4
s_10129-1983,100.0,96,96,0,100.0,4
s_10163-11356,100.0,96,96,0,100.0,4
s_10173-10294,100.0,96,96,0,100.0,4
s_10173-10297,100.0,96,96,0,100.0,4
s_10173-12117,100.0,96,96,0,100.0,4
s_10176-10537,100.0,96,96,0,100.0,4
s_10176-10575,100.0,96,96,0,100.0,4
s_10176-543,100.0,96,96,0,100.0,4
s_10178-10295,100.0,96,96,0,100.0,4
s_10178-4198,100.0,96,96,0,100.0,4
s_10179-1209,100.0,96,96,0,100.0,4
s_10179-1373,100.0,96,96,0,100.0,4
s_10186-10187,100.0,96,96,0,100.0,4
s_10186-4212,100.0,96,96,0,100.0,4
s_10187-10186,100.0,96,96,0,100.0,4
s_10187-11433,100.0,96,96,0,100.0,4
s_10187-4143,100.0,96,96,0,100.0,4
s_10233-12136,100.0,96,96,0,100.0,4
s_10233-4205,100.0,96,96,0,100.0,4
s_10233-7235,100.0,96,96,0,100.0,4
s_10246-12117,100.0,96,96,0,100.0,4
s_10246-75,100.0,93,93,0,100.0,4
s_10264-131,100.0,96,96,0,100.0,4
s_10264-4223,100.0,96,96,0,100.0,4
s_10265-11365,100.0,96,96,0,100.0,4
s_10265-9472,100.0,96,96,0,100.0,4
s_10266-12114,100.0,96,96,0,100.0,4
s_10269-10791,100.0,96,96,0,100.0,4
s_10269-4063,100.0,96,96,0,100.0,4
s_10269-963,100.0,96,96,0,100.0,4
s_10293-10294,100.0,96,96,0,100.0,4
s_10293-4112,100.0,96,96,0,100.0,4
s_10294-10173,100.0,96,96,0,100.0,4
s_10294-10293,100.0,96,96,0,100.0,4
s_10295-10178,100.0,96,96,0,100.0,4
s_10295-4115,100.0,96,96,0,100.0,4
s_10297-10173,100.0,96,96,0,100.0,4
s_10297-8059,100.0,96,96,0,100.0,4
s_10319-11995,100.0,96,96,0,100.0,4
s_10319-4186,100.0,96,96,0,100.0,4
s_10367-8039,100.0,96,96,0,100.0,4
s_10367-9756,100.0,96,96,0,100.0,4
s_10385-7001,100.0,96,96,0,100.0,4
s_10385-7116,100.0,96,96,0,100.0,4
s_10385-7264,100.0,96,96,0,100.0,4
s_10398-3772,100.0,96,96,0,100.0,4
s_10398-9461,100.0,96,96,0,100.0,4
s_10407-10703,100.0,96,96,0,100.0,4
s_10407-11356,100.0,96,96,0,100.0,4
