From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
1,5,100,0,0,100,384,384,0,384,384,0,384,0,100,1
1,8052,100,0,0,100,384,384,0,384,384,0,384,0,100,2
1,8066,100,0,0,100,384,384,0,384,384,0,384,0,100,3
10005,91,100,0,0,100,384,384,0,384,384,0,384,0,100,4
10005,93,100,0,0,100,384,384,0,384,384,0,384,0,100,5
10024,11231,100,0,0,100,384,384,0,384,384,0,384,0,100,6
10024,7134,100,0,0,100,384,384,0,384,384,0,384,0,100,7
10028,12130,100,0,0,100,384,384,0,384,384,0,384,0,100,8
10028,3906,100,0,0,100,384,384,0,384,384,0,384,0,100,9
10033,527,100,0,0,100,384,384,0,384,384,0,384,0,100,10
10033,536,100,0,0,100,384,384,0,384,384,0,384,0,100,11
10034,10507,100,0,0,100,384,384,0,384,384,0,384,0,100,12
10034,4056,100,0,0,100,384,384,0,384,384,0,384,0,100,13
10034,4251,100,0,0,100,384,384,0,384,384,0,384,0,100,14
10054,3667,100,0,0,100,384,384,0,384,384,0,384,0,100,15
10054,399,100,0,0,100,384,384,0,384,384,0,384,0,100,16
10058,12244,100,0,0,100,384,384,0,384,384,0,384,0,100,17
10058,31,100,0,0,100,384,384,0,384,384,0,384,0,100,18
335,337,100,0,0,100,384,384,0,384,384,0,384,0,100,19
10066,11384,82.5521,0,17.4479,82.5521,384,317,67,384,384,0,384,0,100,20
10066,11981,100,0,0,100,384,384,0,384,384,0,384,0,100,21
10066,7171,100,0,0,100,384,384,0,384,384,0,384,0,100,22
10067,10073,100,0,0,100,384,384,0,384,384,0,384,0,100,23
10067,761,100,0,0,100,384,384,0,384,384,0,384,0,100,24
10067,773,99.7396,0,0.260417,99.7396,384,383,1,461,325,59,384,0,100,25
10067,9701,100,0,0,100,384,384,0,384,384,0,384,0,100,26
10071,11392,100,0,0,100,384,384,0,479,289,95,384,0,100,27
10071,7093,100,0,0,100,384,384,0,384,384,0,384,0,100,28
10073,10067,100,0,0,100,384,384,0,384,384,0,384,0,100,29
10073,4135,100,0,0,100,384,384,0,384,384,0,384,0,100,30
10091,7073,100,0,0,100,384,384,0,384,384,0,384,0,100,31
10091,7199,100,0,0,100,384,384,0,384,384,0,384,0,100,32
10293,10294,100,0,0,100,384,384,0,384,384,0,384,0,100,33
10091,7220,100,0,0,100,384,384,0,384,384,0,384,0,100,34
10129,1979,100,0,0,100,384,384,0,384,384,0,384,0,100,35
10129,1983,100,0,0,100,384,384,0,384,384,0,384,0,100,36
10163,11356,100,0,0,100,384,384,0,384,384,0,384,0,100,37
10173,10294,100,0,0,100,384,384,0,384,384,0,384,0,100,38
10173,10297,100,0,0,100,384,384,0,384,384,0,384,0,100,39
10173,12117,100,0,0,100,384,384,0,384,384,0,384,0,100,40
10176,10537,100,0,0,100,384,384,0,384,384,0,384,0,100,41
10176,10575,100,0,0,100,384,384,0,384,384,0,384,0,100,42
10176,543,100,0,0,100,384,384,0,384,384,0,384,0,100,43
10178,10295,100,0,0,100,384,384,0,384,384,0,384,0,100,44
10178,4198,100,0,0,100,384,384,0,384,384,0,384,0,100,45
10179,1209,100,0,0,100,384,384,0,384,384,0,384,0,100,46
10179,1373,100,0,0,100,384,384,0,384,384,0,384,0,100,47
10186,10187,100,0,0,100,384,384,0,384,384,0,384,0,100,48
10186,4212,100,0,0,100,384,384,0,384,384,0,384,0,100,49
10187,10186,100,0,0,100,384,384,0,384,384,0,384,0,100,50
10187,11433,100,0,0,100,384,384,0,384,384,0,384,0,100,51
10187,4143,100,0,0,100,384,384,0,384,384,0,384,0,100,52
10233,12136,100,0,0,100,384,384,0,384,384,0,384,0,100,53
10233,4205,100,0,0,100,384,384,0,384,384,0,384,0,100,54
10233,7235,100,0,0,100,384,384,0,384,384,0,384,0,100,55
10246,12117,100,0,0,100,384,384,0,384,384,0,384,0,100,56
10246,75,95.8333,0,4.16667,95.8333,384,368,16,384,384,0,384,0,100,57
10264,131,100,0,0,100,384,384,0,384,384,0,384,0,100,58
10264,4223,100,0,0,100,384,384,0,384,384,0,384,0,100,59
10265,11365,100,0,0,100,384,384,0,384,384,0,384,0,100,60
10265,9472,100,0,0,100,384,384,0,384,384,0,384,0,100,61
10266,12114,100,0,0,100,384,384,0,384,384,0,384,0,100,62
